MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
Besucher*innen,insgesamt,2007,200704,287064,498462,-19,-42.41,393476
Besucher*innen,insgesamt,2007,200705,383068,383759,33.44,-0.18,393418
Besucher*innen,insgesamt,2007,200706,362045,189431,-5.49,91.12,407803
Besucher*innen,insgesamt,2007,200707,427766,328072,18.15,30.39,416110
Besucher*innen,insgesamt,2007,200708,396968,519228,-7.2,-23.55,405922
Besucher*innen,insgesamt,2007,200709,313853,319546,-20.94,-1.78,405448
Besucher*innen,insgesamt,2007,200710,399876,501649,27.41,-20.29,396967
Besucher*innen,insgesamt,2007,200711,362856,503559,-9.26,-27.94,385241
Besucher*innen,insgesamt,2007,200712,371383,436421,2.35,-14.9,379822
Besucher*innen,insgesamt,2006,Summe,5051434,4719142,,7.04,
Besucher*innen,insgesamt,2006,200601,477863,496249,24.59,-3.7,391730
Besucher*innen,insgesamt,2006,200602,434291,436739,-9.12,-0.56,391526
Besucher*innen,insgesamt,2006,200603,459153,486330,5.72,-5.59,389261
Besucher*innen,insgesamt,2006,200604,498462,311622,8.56,59.96,404831
Besucher*innen,insgesamt,2006,200605,383759,375257,-23.01,2.27,405539
Besucher*innen,insgesamt,2006,200606,189431,300111,-50.64,-36.88,396316
Besucher*innen,insgesamt,2006,200607,328072,417653,73.19,-21.45,388851
Besucher*innen,insgesamt,2006,200608,519228,433000,58.27,19.91,396037
Besucher*innen,insgesamt,2006,200609,319546,255120,-38.46,25.25,401406
Besucher*innen,insgesamt,2006,200610,501649,380076,56.99,31.99,411537
Besucher*innen,insgesamt,2006,200611,503559,443425,0.38,13.56,416548
Besucher*innen,insgesamt,2006,200612,436421,383560,-13.33,13.78,420953
Besucher*innen,insgesamt,2005,Summe,4719142,5512515,,-14.39,
Besucher*innen,insgesamt,2005,200501,496249,531027,12.6,-6.55,456478
Besucher*innen,insgesamt,2005,200502,436739,485202,-11.99,-9.99,452440
Besucher*innen,insgesamt,2005,200503,486330,420218,11.35,15.73,457949
Besucher*innen,insgesamt,2005,200504,311622,407452,-35.92,-23.52,449963
Besucher*innen,insgesamt,2005,200505,375257,449848,20.42,-16.58,443747
Besucher*innen,insgesamt,2005,200506,300111,424815,-20.03,-29.35,433355
Besucher*innen,insgesamt,2005,200507,417653,505479,39.17,-17.37,426036
Besucher*innen,insgesamt,2005,200508,433000,492733,3.67,-12.12,421059
Besucher*innen,insgesamt,2005,200509,255120,407956,-41.08,-37.46,408322
Besucher*innen,insgesamt,2005,200510,380076,488698,48.98,-22.23,399270
Besucher*innen,insgesamt,2005,200511,443425,458374,16.67,-3.26,398025
Besucher*innen,insgesamt,2005,200512,383560,440713,-13.5,-12.97,393262
Besucher*innen,insgesamt,2004,Summe,5512515,5075521,,8.61,
